Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
2,Exam 3,3,71.1,4/15/2021 8:21,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,75.6,86.68
18,Exam 3,3,82.2,4/15/2021 7:36,I CONSENT,,,None,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,40,72.21
161,Exam 3,3,74.4,4/19/2021 16:39,I CONSENT,,,None,Not all at that concerned,,2,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Much less for this exam,0,2,0,-1,-2,0,1,0,0,0,0,0,0,0,68.9,85.45
10,Exam 3,3,95.6,4/22/2021 11:28,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,40,77.02
167,Exam 3,3,54.4,4/19/2021 14:38,I CONSENT,Proctoring software locked down when another person entered the room for a non-cheating incident,,Internet disconnecting or getting flagged for no reason.,Moderately concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,2,0,-1,-1,0,1,0,0,0,1,0,0,0,57.8,66.28
43,Exam 3,3,84.4,4/19/2021 12:28,I CONSENT,,,I had no concerns taking the exam,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Same Amount,The same amount,0,2,0,0,0,0,0,0,0,0,0,0,0,1,51.1,82.13
10,Exam 3,3,95.6,4/15/2021 7:41,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,40,77.02
33,Exam 3,3,88.9,4/15/2021 8:08,I CONSENT,,,none,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,2,-1,0,-1,0,0,0,0,0,1,0,0,0,75.6,90.23
143,Exam 3,3,31.1,4/15/2021 8:43,I CONSENT,,,,Moderately concerned,,51,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Slightly More,Much less for this exam,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,40,60.55
184,Exam 3,3,86.7,4/19/2021 12:57,I CONSENT,Proctoring software disconnected,,Stressed about material,Slightly concerned,,5,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,89.53
17,Exam 3,3,66.7,4/15/2021 7:48,I CONSENT,,,,Not all at that concerned,,9,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9,76.18
170,Exam 3,3,64.4,4/22/2021 17:23,I CONSENT,,,None ,Other,,20,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,51.1,78.97
168,Exam 3,3,85.6,4/30/2021 9:20,I CONSENT,,,Forgetting all of the information learned. ,Very concerned,,8,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly More,Much more for this exam,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,48.9,80.37
36,Exam 3,3,75.6,4/19/2021 15:07,I CONSENT,,,n/a,Not all at that concerned,,3,Had no impact on difficulty for other students to cheat,Slightly decreased my exam score,No Effect,Much Less,Much less for this exam,0,-1,0,-2,-2,1,0,0,0,0,0,0,0,0,71.1,87.19
41,Exam 3,3,75.6,4/15/2021 7:33,I CONSENT,,,,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,1,-2,-1,-1,0,1,0,0,0,0,0,0,0,82.2,92.81
6,Exam 3,3,75.6,4/15/2021 8:11,I CONSENT,,,"I had no concerns, it all went smoothly.",Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,0,1,-2,0,-1,0,0,0,1,0,0,0,0,0,57.8,75.81
34,Exam 3,3,57.8,4/15/2021 8:37,I CONSENT,,,"I felt like I did not have enough time while taking this exam. In the past, we have has more questions and more time, but this time, I did not have time to complete it. ",Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,1,0,-1,-1,0,0,0,1,0,0,0,0,0,77.8,90.54
42,Exam 3,3,74.4,4/15/2021 8:16,I CONSENT,"Internet connection was too slow,Video could not detect my face,Proctoring software disconnected",,,,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Slightly less for this exam,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,71.1,84.91
162,Exam 3,3,80,4/20/2021 8:41,I CONSENT,Proctoring software disconnected,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,77.82
11,Exam 3,3,47.8,4/19/2021 16:56,I CONSENT,Internet connection was too slow,,,Other,,18,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,0,1,1,-1,-1,0,0,0,1,0,0,0,0,0,64.4,77.52
92,Exam 3,3,82.2,4/19/2021 17:12,I CONSENT,,,Good,Slightly concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,0,1,1,-1,-1,0,0,1,0,0,0,0,0,0,71.1,87.08
74,Exam 3,3,66.7,4/20/2021 7:35,I CONSENT,,,N/A,Not all at that concerned,,2,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,0,1,-1,-2,-1,0,0,0,0,0,0,0,0,0,42.2,68.63
114,Exam 3,3,84.4,4/15/2021 19:58,I CONSENT,,,It did not work this morning but it was on my end. ,Not all at that concerned,,7,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,0,1,-1,-2,-1,0,1,0,0,0,0,0,0,0,46.7,80.39
163,Exam 3,3,75.6,4/15/2021 9:01,I CONSENT,Proctoring software incompatibility with my computer / VPN,,Being able to find a device to use before it's time to take the exam,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,1,-1,-1,-2,0,0,0,0,0,1,0,0,0,57.8,84.14
38,Exam 3,3,87.8,4/15/2021 7:44,I CONSENT,,,N/A,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,1,0,0,0,1,0,0,0,82.2,94.19
6,Exam 3,3,75.6,4/19/2021 13:34,I CONSENT,,,,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,1,-1,0,-1,0,0,0,1,0,0,0,0,0,57.8,75.81
162,Exam 3,3,80,4/15/2021 7:49,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,40,77.82
51,Exam 3,3,82.2,4/15/2021 8:34,I CONSENT,,,It was hard,Slightly concerned,,25,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,88.9,94.93
94,Exam 3,3,81.1,4/29/2021 22:49,I CONSENT,,,N/A,Not all at that concerned,,30,Made it much easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Much less for this exam,2,2,-2,0,-2,0,0,0,0,0,0,0,0,0,75.6,89.59
94,Exam 3,3,81.1,4/15/2021 7:38,I CONSENT,,,"I had no concerns, everything went smoothly!",Not all at that concerned,,35,Made it much easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Much less for this exam,2,2,-1,0,-2,0,0,1,0,0,0,0,0,0,75.6,89.59
185,Exam 3,3,73.3,4/15/2021 7:49,I CONSENT,,,,Not all at that concerned,,30,Made it much easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,2,2,-1,0,-1,0,0,0,0,0,0,0,0,0,62.2,78.89
83,Exam 3,3,58.9,4/15/2021 8:16,I CONSENT,,,none,Not all at that concerned,,37,Made it much easier for other students to cheat,Slightly decreased my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,2,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,62.2,81.96
186,Exam 3,3,80,4/30/2021 9:58,I CONSENT,Proctoring software incompatibility with my computer / VPN,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly decreased my exam score,Greatly Raised,Same Amount,The same amount,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,40,60.63
91,Exam 3,3,40,4/15/2021 11:33,I CONSENT,,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly decreased my exam score,Greatly Reduced,Same Amount,The same amount,-2,-2,-2,0,0,0,0,0,0,1,0,0,0,0,55.6,76.62
82,Exam 3,3,84.4,4/30/2021 8:26,I CONSENT,Internet connection was too slow,,,Very concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Raised,Slightly Less,The same amount,-2,2,2,-1,0,0,0,0,0,0,0,0,0,0,62.2,87.8
76,Exam 3,3,50,4/30/2021 6:48,I CONSENT,,,None,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,2,-2,-2,-2,0,0,0,0,1,0,0,0,0,48.9,75.74
65,Exam 3,3,87.8,4/15/2021 7:32,I CONSENT,,,None ,Not all at that concerned,,9,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Slightly more for this exam,-2,2,-2,2,1,0,0,0,1,1,0,0,0,0,68.9,87.66
48,Exam 3,3,77.8,4/15/2021 7:45,I CONSENT,,,,Not all at that concerned,,20,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,2,-2,-1,-1,0,0,0,0,0,0,0,0,0,48.9,78.31
139,Exam 3,3,88.9,4/19/2021 11:33,I CONSENT,,,,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,66.7,87.58
82,Exam 3,3,84.4,4/15/2021 7:31,I CONSENT,,,"My test would not load for a few minutes, but other than that no complaints.",Slightly concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,-2,2,-2,1,0,0,0,0,1,0,0,0,0,0,62.2,87.8
8,Exam 3,3,84.4,4/15/2021 8:21,I CONSENT,,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,64.4,86.13
12,Exam 3,3,44.4,4/22/2021 8:07,I CONSENT,,,,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,-2,2,1,-1,-1,0,0,0,0,0,0,0,0,0,48.9,72.47
67,Exam 3,3,80,4/19/2021 11:29,I CONSENT,,,i like to talk during my exams out loud,Slightly concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,2,-1,-1,-1,0,1,0,0,0,1,0,0,0,40,77.92
128,Exam 3,3,71.1,4/15/2021 7:56,I CONSENT,,,,Other,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,86.7,93.77
187,Exam 3,3,93.3,4/19/2021 11:35,I CONSENT,,,I was concerned I would not have enough time to finish the exam,Moderately concerned,,20,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly More,Much less for this exam,-2,2,-1,1,-2,0,0,0,0,0,1,0,0,0,73.3,90.57
72,Exam 3,3,56.7,4/20/2021 7:19,I CONSENT,,,I had no concern.,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-2,2,-1,0,0,0,0,0,1,0,1,0,0,0,57.8,83.73
76,Exam 3,3,50,4/15/2021 20:00,I CONSENT,,,N/a,Not all at that concerned,,6,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Much Less,Much less for this exam,-2,0,0,-2,-2,0,0,0,0,1,0,0,0,0,48.9,75.74
69,Exam 3,3,84.4,4/15/2021 7:39,I CONSENT,,,nothing,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,37.8,75.9
71,Exam 3,3,68.9,4/15/2021 7:41,I CONSENT,Internet connection was too slow,,,Moderately concerned,,13,Made it much more difficult for other students to cheat,Slightly decreased my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,-1,-2,-1,-1,0,0,0,0,0,1,0,0,0,51.1,78.18
72,Exam 3,3,56.7,4/15/2021 7:32,I CONSENT,,,I was afraid my cat would start bothering me. ,Not all at that concerned,,4,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,1,-2,-2,-2,0,1,0,0,0,0,0,0,0,57.8,83.73
23,Exam 3,3,50,4/15/2021 8:07,I CONSENT,,,I just didn't have enough time.,Moderately concerned,,4,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Much less for this exam,-2,1,0,0,-2,0,0,0,0,0,0,0,0,0,55.6,76.05
177,Exam 3,3,54.4,4/15/2021 8:38,I CONSENT,,,none,Not all at that concerned,,4,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,55.6,73.49
178,Exam 3,3,53.3,4/15/2021 7:45,I CONSENT,,,,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,48.9,75.18
164,Exam 3,3,55.6,4/19/2021 12:53,I CONSENT,Internet connection was too slow,,Internet and time.,Very concerned,,1,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-2,1,-1,0,0,0,0,1,0,0,0,0,0,0,33.3,70.44
173,Exam 3,3,34.4,4/15/2021 7:31,I CONSENT,,,,Not all at that concerned,,5,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,1,2,-2,-2,-2,0,0,0,1,0,0,0,0,0,68.9,87.86
122,Exam 3,3,73.3,4/15/2021 7:52,I CONSENT,,,Video turning off,Slightly concerned,,9,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,1,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,66.7,84.23
101,Exam 3,3,91.1,4/15/2021 8:02,I CONSENT,,,I was scared that I was going to run out of time. ,Slightly concerned,,50,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Much less for this exam,1,2,-2,2,-2,1,0,0,0,0,0,0,0,0,73.3,89.73
188,Exam 3,3,93.3,4/15/2021 7:50,I CONSENT,"Video could not detect my face,Proctoring software disconnected,Proctoring software locked down when another person entered the room for a non-cheating incident",,I do not personally have any. ,Not all at that concerned,,4,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,1,2,-2,-1,-2,0,0,0,0,1,1,0,0,0,53.3,80.53
103,Exam 3,3,67.8,4/15/2021 8:00,I CONSENT,,,,Not all at that concerned,,25,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,73.3,83.69
3,Exam 3,3,85.6,4/15/2021 8:17,I CONSENT,,,internet connection,Slightly concerned,,20,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,60,84.05
99,Exam 3,3,84.4,4/15/2021 7:54,I CONSENT,,,disconnecting from my internet,Not all at that concerned,,5,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,1,1,0,0,0,0,0,0,91.1,93.64
97,Exam 3,3,83.3,4/19/2021 16:53,I CONSENT,,,,Other,,49,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly less for this exam,1,2,-2,1,-1,0,0,0,0,0,1,0,0,0,71.1,89.2
31,Exam 3,3,60,4/21/2021 9:57,I CONSENT,,,I was nervous about the content,Slightly concerned,,34,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,1,2,-2,1,0,0,0,0,0,0,1,0,0,0,53.3,72.63
104,Exam 3,3,71.1,4/15/2021 7:44,I CONSENT,,,None,Not all at that concerned,,15,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,0,1,0,0,0,0,0,64.4,80.74
55,Exam 3,3,71.1,4/15/2021 8:02,I CONSENT,,,,Not all at that concerned,,30,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,0,0,0,0,0,0,0,66.7,81.9
160,Exam 3,3,68.9,4/15/2021 8:30,I CONSENT,,,None,Not all at that concerned,,3,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,1,2,-1,-2,-1,0,1,0,0,0,0,0,0,0,40,74.12
160,Exam 3,3,68.9,4/28/2021 13:29,I CONSENT,,,Doing well,Moderately concerned,,6,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,2,-1,-1,-1,0,1,0,0,0,0,0,0,0,40,74.12
136,Exam 3,3,54.4,4/19/2021 14:21,I CONSENT,,,Material being hard,Moderately concerned,,21,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,62.2,65.21
170,Exam 3,3,64.4,4/15/2021 8:18,I CONSENT,,,None ,Not all at that concerned,,10,Made it slightly easier for other students to cheat,Had no effect on my exam score,Greatly Raised,Same Amount,Slightly less for this exam,1,0,2,0,-1,0,0,0,0,0,0,0,0,0,51.1,78.97
112,Exam 3,3,83.3,4/15/2021 7:44,I CONSENT,,,that it would kick me out,Slightly concerned,,19,Made it slightly easier for other students to cheat,Had no effect on my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,0,-2,0,-1,0,0,0,0,0,1,0,0,0,80,92.4
125,Exam 3,3,68.9,4/28/2021 13:42,I CONSENT,,,No concerns:),Not all at that concerned,,19,Made it slightly easier for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,84.4,91.26
100,Exam 3,3,63.3,4/14/2021 10:14,I CONSENT,,,,,,10,Made it slightly easier for other students to cheat,Slightly decreased my exam score,Greatly Reduced,Same Amount,The same amount,1,-1,-2,0,0,0,0,0,1,0,1,0,0,0,66.7,85.6
118,Exam 3,3,68.9,4/15/2021 7:49,I CONSENT,,,I would be flagged for cheating when not cheating. ,Slightly concerned,,20,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Slightly less for this exam,1,1,-2,-2,-1,0,1,0,0,0,0,0,0,0,75.6,86.79
111,Exam 3,3,80,4/19/2021 11:30,I CONSENT,,,,Not all at that concerned,,40,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Slightly less for this exam,1,1,-2,-2,-1,0,0,0,0,0,0,0,0,0,80,89.78
98,Exam 3,3,62.2,4/22/2021 8:07,I CONSENT,,,I just had a lot of test on the same week,Moderately concerned,,3,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,1,1,-2,0,0,0,0,0,0,1,0,0,0,0,64.4,86.54
183,Exam 3,3,77.8,4/15/2021 7:54,I CONSENT,,,It was hard,Moderately concerned,,60,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,73.3,85.97
39,Exam 3,3,73.3,4/15/2021 7:44,I CONSENT,"Internet connection was too slow,Video could not detect my face",,"I was concerned about being flagged for my video. My computer had to be in a very consistent spot to stay connected to the wifi so I could take the exam, and was worried that my face couldn't be detected for the entirety of my exam. ",Moderately concerned,,10,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Much less for this exam,1,1,-1,-2,-2,0,0,0,0,0,0,0,0,0,64.4,81.07
117,Exam 3,3,65.6,4/15/2021 8:05,I CONSENT,,,I was afraid I had a mix-up with time. On canvas the assignment isn't due until 11:00 but I didn't know if that was for all students or just those with extended time.,Slightly concerned,,9,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,1,1,-1,0,-1,0,0,1,0,0,0,0,0,0,46.7,74.56
189,Exam 3,3,0,4/25/2021 20:57,I CONSENT,"Internet connection was too slow,Proctoring software disconnected",,Internet connection ,Moderately concerned,,20,Made it slightly easier for other students to cheat,,,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,51.1,51.74
175,Exam 3,3,64.4,4/15/2021 8:10,I CONSENT,,,none,Not all at that concerned,,29,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-1,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,66.7,83.84
154,Exam 3,3,75.6,4/27/2021 8:35,I CONSENT,,,All is going smoothly,Not all at that concerned,,1,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,0,0,0,0,0,0,55.6,79.2
1,Exam 3,3,82.2,4/19/2021 11:32,I CONSENT,,,,Not all at that concerned,,13,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,0,0,0,0,0,0,0,53.3,75.47
130,Exam 3,3,74.4,4/15/2021 8:21,I CONSENT,,,none,Not all at that concerned,,19,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,0,1,0,0,0,0,0,64.4,86.81
154,Exam 3,3,75.6,4/15/2021 8:04,I CONSENT,,,It all went smoothly,Not all at that concerned,,1,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,1,0,0,0,0,0,0,55.6,79.2
127,Exam 3,3,82.2,4/20/2021 7:32,I CONSENT,,,I had no concerns.,Not all at that concerned,,21,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,1,0,0,0,0,0,0,75.6,89.53
156,Exam 3,3,91.1,4/22/2021 8:59,I CONSENT,,,I was just worried that my computer would die or lockdown would quit on me.,Slightly concerned,,13,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,No Effect,Same Amount,The same amount,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,77.8,91.46
35,Exam 3,3,71.1,4/20/2021 8:29,I CONSENT,,,"If my roommate were to have gotten up and started moving around, I was afraid it would have flag my test.",Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,2,-1,-2,-2,1,0,0,0,0,1,0,0,0,77.8,89
46,Exam 3,3,86.7,4/19/2021 16:36,I CONSENT,,,No concerns,Not all at that concerned,,3,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,1,0,0,0,0,0,0,33.3,72.7
81,Exam 3,3,67.8,4/19/2021 11:32,I CONSENT,,,Just dealing with the proctor site,Slightly concerned,,15,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,57.8,79.34
29,Exam 3,3,76.7,4/15/2021 8:06,I CONSENT,,,That I felt confident about all of my answers but got a 76...,Very concerned,,10,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Same Amount,Slightly more for this exam,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,73.3,86.78
44,Exam 3,3,91.1,4/15/2021 9:15,I CONSENT,,,"Since I am not used to the system, I don't think I had any concerns about today's online-proctored exam.",Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,1,-2,0,0,0,0,0,0,0,0,0,0,0,86.7,94.79
131,Exam 3,3,63.3,4/15/2021 8:10,I CONSENT,,,,Not all at that concerned,,8,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80.94
116,Exam 3,3,82.2,4/19/2021 12:50,I CONSENT,,,,Slightly concerned,,9,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Much Less,Slightly more for this exam,-1,1,1,-2,1,0,0,0,0,0,0,0,0,0,77.8,88.14
